tvstudy v1.3.1
Host,"localhost"
CDBS,"07/01/2013 (2)  FP&ClassA"
Study,"Top100 Studies"
Scenario,"DMA20"
Comment,
Start,"2015.05.19 11:15:36"
Desired,,,,,,,NoiseLimited,,TerrainLimited,,InterferenceFree,,,Undesired,,,,,,TotalInterference,,UniqueInterference
FacID,Ch,Call,FileNumber,City,St,InCountry,Area,Population,Area,Population,Area,Population,,FacID,Ch,Call,FileNumber,City,St,Area,Population,Area,Population
35855,9,"KVIE","BMLEDT20100913ABV","SACRAMENTO",CA,US,48007.5,10772354,41572.7,7489203,41476.9,7487403,,25048,10,"KXTV","BLCDT20120201AAM","SACRAMENTO",CA,79.9,1689,79.9,1689
,,,,,,,,,,,,,,19653,8,"KSBW","BLCDT20090901ACY","SALINAS","CA",16.0,111,16.0,111
25048,10,"KXTV","BLCDT20120201AAM","SACRAMENTO",CA,US,47357.4,10759880,40991.6,7484335,40851.8,7481119,,35855,9,"KVIE","BMLEDT20100913ABV","SACRAMENTO",CA,139.9,3216,139.9,3216
18736,15,"KMUM-CA","BLTTL19981016JH","SACRAMENTO",CA,US,317.4,518527,317.4,518527,313.4,512959,,4939,15,"KBSV","BLEDT20090213AAZ","CERES",CA,4.0,5568,4.0,5568
334,20,"K20JX-D","BLDTA20101006AAS","SACRAMENTO",CA,US,1621.5,1161683,1621.5,1161683,665.9,358134,,58605,20,"KCVU","BLCDT20081222AAV","PARADISE",CA,943.6,802975,863.3,741630
,,,,,,,,,,,,,,51499,21,"KMAX-TV","BLCDT20041018ABT","SACRAMENTO","CA",92.3,61919,12.0,574
51499,21,"KMAX-TV","BLCDT20041018ABT","SACRAMENTO",CA,US,46284.7,10691054,39854.8,6944437,39827.0,6944172,,58605,20,"KCVU","BLCDT20081222AAV","PARADISE",CA,27.9,265,27.9,265
52891,23,"KEZT-CD","BLDTA20120202ACU","SACRAMENTO",CA,US,3484.2,1750098,3484.2,1750098,3484.2,1750098
33875,35,"KCRA-TV","BMLCDT20110630AGB","SACRAMENTO",CA,US,45168.2,10612395,38245.9,6492594,37226.7,5742793,,34564,36,"KICU-TV","BLCDT20090709ALH","SAN JOSE",CA,611.8,434816,278.0,219431
,,,,,,,,,,,,,,51429,34,"KFSF-DT","BLCDT20100513ABB","VALLEJO","CA",741.2,530370,407.4,314985
10205,40,"KTXL","BLCDT20090918ABS","SACRAMENTO",CA,US,36544.1,7355156,32385.3,5410796,31026.2,4997819,,136014,40,"NEW","BPEDT20020730AAC","VALLEJO",CA,1231.7,391111,567.4,289484
,,,,,,,,,,,,,,22644,41,"KKPX-TV","BLCDT20021108ABD","SAN JOSE","CA",632.9,59657,8.1,3
